Input State, Timestamp, GPU Times, time.time(), clock_realtime
0.000000,4120104385.000000,4120025228.000000,1535541934.382028,1535541934.382038
1.000000,4121104246.000000,4120996959.000000,1535541935.381921,1535541935.381937
0.000000,4122102898.000000,4121968689.000000,1535541936.380614,1535541936.380628
1.000000,4123100753.000000,4123009830.000000,1535541937.378414,1535541937.378428
0.000000,4124100355.000000,4123981560.000000,1535541938.378014,1535541938.378028
1.000000,4125098421.000000,4125022700.000000,1535541939.376101,1535541939.376116
0.000000,4126097940.000000,4125994431.000000,1535541940.375594,1535541940.375609
1.000000,4127095861.000000,4126966162.000000,1535541941.373530,1535541941.373544
0.000000,4128094623.000000,4128007302.000000,1535541942.372265,1535541942.372279
1.000000,4129093605.000000,4128979033.000000,1535541943.371267,1535541943.371282
